Ref_Interna,Marca,Modelo,Material,Color,Herrajes,Año_Fabricacion,Estado_General,Disponibilidad,Has_Box,Has_Papers,Has_Dustbag,Has_Receipt,Sourcing_Type,Precio_Retail_USD,Coste_Compra_EUR,Precio_Venta_EUR,Margen_Bruto_EUR,Margen_Pct,Descripcion_Corta
HP-31101,Dior,Book Tote Medium,Toile de Jouy,Gold,Champagne,2023,N - Nuevo,Bajo Pedido (15 días),False,False,True,True,Owned,3300,2440,4075,1635,40.1,El bolso de viaje de la élite.
HP-63486,Louis Vuitton,Capucines BB,Taurillon,Verde,Oro (GHW),2023,AB - Muy bueno,En Stock (24h),True,True,True,False,Owned,6100,3471,5381,1910,35.5,La apuesta de LV por el ultra-lujo.
HP-85956,Chanel,2.55 Reissue 226,Aged Calfskin,Beige Trench,Oro (GHW),2025,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Owned,10300,6356,9359,3003,32.1,El original de Coco Chanel.
HP-49481,Gucci,Marmont Matelassé Small,Leather,Gris Asfalto,Rutenio,2018,N - Nuevo,En Sourcing,True,False,True,False,Owned,2550,1934,2948,1014,34.4,El superventas de la década.
HP-14395,Bottega Veneta,Jodie Mini,Intrecciato,Gold,Oro (GHW),2025,N - Nuevo,En Stock (24h),True,False,True,False,Owned,2650,2267,3224,957,29.7,El nudo viral.
HP-33453,Gucci,Dionysus Small,GG Supreme,Etoupe,Champagne,2025,N - Nuevo,Bajo Pedido (15 días),False,False,True,True,Owned,2980,2016,3645,1629,44.7,Cierre de cabeza de tigre mitológico.
HP-99198,Chanel,2.55 Reissue 226,Aged Calfskin,Beige Trench,Oro Viejo,2018,B - Buen estado,En Stock (24h),True,True,True,False,Owned,10300,4913,7521,2608,34.7,El original de Coco Chanel.
HP-97634,Hermès,Picotin Lock 18,Clemence,Azul Marino,Paladio (PHW),2020,N - Nuevo,En Stock (24h),False,False,True,True,Consignment,3400,3658,4458,800,17.9,El bucket bag de lujo por excelencia.
HP-45701,Dior,Book Tote Medium,Toile de Jouy,Beige Trench,Champagne,2023,A - Excelente,En Stock (24h),True,False,True,False,Owned,3300,2182,3075,893,29.0,El bolso de viaje de la élite.
HP-26699,Celine,Belt Bag Nano,Grained Calf,Rouge H,Paladio (PHW),2024,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,2300,1189,2139,950,44.4,Funcionalidad y discreción.
HP-41424,Dior,30 Montaigne,Box Calf,Rouge H,Rutenio,2024,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,3900,2337,3645,1308,35.9,Elegancia minimalista con cierre CD.
HP-34980,Prada,Re-Edition 2005,Re-Nylon,Craie,Rutenio,2022,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Owned,1980,1445,2495,1050,42.0,El icono del Y2K.
HP-11451,Prada,Re-Edition 2005,Re-Nylon,Rouge H,Oro (GHW),2019,A - Excelente,En Stock (24h),False,True,True,False,Owned,1980,1192,1922,730,38.0,El icono del Y2K.
HP-15734,Loewe,Hammock Compact,Soft Grain,Craie,Champagne,2022,A - Excelente,En Sourcing,False,False,True,True,Owned,2950,1566,2675,1109,41.4,Versatilidad total.
HP-95969,Loewe,Puzzle Mini,Satin Calf,Rouge H,Champagne,2024,A - Excelente,En Stock (24h),True,True,True,False,Owned,2400,1622,2297,675,29.4,El favorito de las influencers.
HP-57325,Chanel,Wallet on Chain (WOC),Caviar,Gris Asfalto,Rutenio,2023,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,3500,1777,3111,1334,42.9,El esencial de entrada a la marca.
HP-78591,Louis Vuitton,Onthego GM,Giant Monogram,Verde,Oro (GHW),2018,AB - Muy bueno,En Stock (24h),True,False,True,False,Consignment,3100,2320,2822,502,17.8,Maxi logo para impacto visual.
HP-45297,Dior,Saddle Bag,Oblique Jacquard,Gris Asfalto,Rutenio,2019,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Consignment,4200,3215,4075,860,21.1,El retorno del icono de los 2000.
HP-14663,Louis Vuitton,Speedy 25 Bandoulière,Damier Ebene,Etoupe,Oro (GHW),2018,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,False,Owned,1800,814,1467,653,44.5,Icono urbano indestructible.
HP-12988,Dior,30 Montaigne,Box Calf,Etoupe,Oro (GHW),2020,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,False,Owned,3900,2272,3568,1296,36.3,Elegancia minimalista con cierre CD.
HP-15243,Chanel,Classic Flap Jumbo,Caviar,Craie,Champagne,2024,N - Nuevo,En Sourcing,False,True,True,False,Owned,11000,9088,13773,4685,34.0,Para quien necesita más espacio.
HP-88790,Celine,Ava Bag,Triomphe Canvas,Gold,Oro Viejo,2025,N - Nuevo,En Stock (24h),False,False,True,False,Owned,1700,1313,2213,900,40.6,La silueta de media luna.
HP-25502,Hermès,Picotin Lock 18,Clemence,Negro,Paladio (PHW),2024,A - Excelente,Bajo Pedido (15 días),False,True,True,True,Owned,3400,2198,3467,1269,36.6,El bucket bag de lujo por excelencia.
HP-70092,Hermès,Kelly 25 Retourne,Swift,Verde,Oro Viejo,2025,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,11800,7770,10872,3102,28.5,Acabado suave y relajado.
HP-44251,Hermès,Evelyne III PM,Clemence,Craie,Oro Viejo,2019,A - Excelente,En Stock (24h),True,False,True,False,Owned,3800,2658,3941,1283,32.5,Casual y funcional con la H perforada.
HP-69197,Chanel,Wallet on Chain (WOC),Caviar,Etoupe,Rutenio,2020,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,False,Owned,3500,1818,3240,1422,43.9,El esencial de entrada a la marca.
HP-76970,Louis Vuitton,Pochette Métis,Monogram Reverse,Verde,Champagne,2023,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,2700,1337,2402,1065,44.3,El satchel perfecto para diario.
HP-88879,Louis Vuitton,Pochette Métis,Monogram Reverse,Beige Trench,Paladio (PHW),2022,N - Nuevo,Bajo Pedido (15 días),True,True,True,False,Owned,2700,1967,3260,1293,39.7,El satchel perfecto para diario.
HP-62524,Fendi,Fendi First Small,Nappa,Verde,Oro Viejo,2022,B - Buen estado,Bajo Pedido (15 días),False,True,True,False,Owned,3400,1522,2265,743,32.8,La F arquitectónica.
HP-89827,Celine,Belt Bag Nano,Grained Calf,Rouge H,Oro Viejo,2022,N - Nuevo,En Stock (24h),True,False,True,True,Consignment,2300,2386,2938,552,18.8,Funcionalidad y discreción.
HP-32946,Bottega Veneta,Jodie Teen,Suede Intrecciato,Gris Asfalto,Oro Viejo,2018,N - Nuevo,En Stock (24h),False,False,True,True,Owned,3500,2885,4332,1447,33.4,Tamaño perfecto para diario.
HP-70716,Fendi,Fendi First Small,Nappa,Verde,Champagne,2018,A - Excelente,En Sourcing,True,True,True,True,Owned,3400,2187,3713,1526,41.1,La F arquitectónica.
HP-59301,Hermès,Picotin Lock 18,Clemence,Gris Asfalto,Rutenio,2025,AB - Muy bueno,En Stock (24h),False,True,True,False,Consignment,3400,2437,3119,682,21.8,El bucket bag de lujo por excelencia.
HP-59274,Gucci,Jackie 1961 Small,GG Supreme,Gold,Rutenio,2022,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,False,Consignment,2950,1964,2399,435,18.1,El hobo bag renacido.
HP-31265,Chanel,Classic Flap Medium,Caviar,Negro,Oro Viejo,2023,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,True,Owned,10300,6314,9217,2903,31.5,El rey de la reventa. Piel resistente.
HP-39020,Hermès,Kelly 28 Sellier,Box Calf,Gold,Paladio (PHW),2024,A - Excelente,Bajo Pedido (15 días),False,True,True,False,Owned,12500,7684,11296,3612,32.0,Elegancia estructurada con costuras visibles.
HP-42743,Fendi,Peekaboo ISeeU Small,Selleria,Etoupe,Champagne,2018,N - Nuevo,En Stock (24h),True,True,True,True,Owned,5400,5648,7857,2209,28.1,Artesanía romana.
HP-48661,Gucci,Horsebit 1955,GG Supreme,Etoupe,Rutenio,2021,AB - Muy bueno,En Stock (24h),False,False,True,True,Owned,2890,1544,2541,997,39.2,Estilo ecuestre vintage.
HP-28494,Chanel,Wallet on Chain (WOC),Caviar,Negro,Rutenio,2018,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Consignment,3500,3059,3622,563,15.5,El esencial de entrada a la marca.
HP-61650,Chanel,Classic Flap Medium,Caviar,Craie,Champagne,2022,A - Excelente,Bajo Pedido (15 días),False,True,True,True,Owned,10300,6634,10461,3827,36.6,El rey de la reventa. Piel resistente.
HP-67214,Louis Vuitton,Speedy 25 Bandoulière,Damier Ebene,Verde,Champagne,2020,N - Nuevo,En Stock (24h),True,False,True,True,Owned,1800,1322,2116,794,37.5,Icono urbano indestructible.
HP-67454,Dior,30 Montaigne,Box Calf,Azul Marino,Oro (GHW),2018,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Owned,3900,2195,3650,1455,39.9,Elegancia minimalista con cierre CD.
HP-64051,Hermès,Kelly 28 Sellier,Box Calf,Verde,Champagne,2018,A - Excelente,En Stock (24h),True,False,True,False,Consignment,12500,9368,11776,2408,20.4,Elegancia estructurada con costuras visibles.
HP-39970,Bottega Veneta,The Pouch,Butter Calf,Negro,Paladio (PHW),2023,A - Excelente,En Stock (24h),False,True,True,False,Consignment,3200,2540,3187,647,20.3,El clutch que inició la era.
HP-57799,Bottega Veneta,Jodie Teen,Suede Intrecciato,Craie,Paladio (PHW),2020,A - Excelente,En Stock (24h),False,False,True,False,Owned,3500,2672,3578,906,25.3,Tamaño perfecto para diario.
HP-32019,Bottega Veneta,Jodie Mini,Intrecciato,Gris Asfalto,Oro (GHW),2024,A - Excelente,En Stock (24h),False,False,True,False,Owned,2650,1910,2624,714,27.2,El nudo viral.
HP-39313,Hermès,Kelly 25 Retourne,Swift,Gold,Oro Viejo,2022,A - Excelente,En Stock (24h),True,False,True,False,Owned,11800,7042,10992,3950,35.9,Acabado suave y relajado.
HP-52206,Dior,30 Montaigne,Box Calf,Azul Marino,Paladio (PHW),2021,N - Nuevo,En Sourcing,True,True,True,False,Owned,3900,3408,5052,1644,32.5,Elegancia minimalista con cierre CD.
HP-29239,Celine,Luggage Nano,Drummed Calf,Verde,Oro (GHW),2024,N - Nuevo,En Sourcing,False,False,True,False,Owned,2600,2026,3359,1333,39.7,El rostro inconfundible.
HP-42540,Fendi,Fendi First Small,Nappa,Negro,Champagne,2020,A - Excelente,En Stock (24h),True,False,True,False,Consignment,3400,2683,3244,561,17.3,La F arquitectónica.
HP-63092,Loewe,Gate Dual Mini,Soft Calf,Verde,Oro Viejo,2024,AB - Muy bueno,Reservado,False,False,True,True,Consignment,1950,1521,1800,279,15.5,El saddle bag español.
HP-56846,Dior,Book Tote Medium,Toile de Jouy,Beige Trench,Oro Viejo,2023,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,False,Owned,3300,2000,3002,1002,33.3,El bolso de viaje de la élite.
HP-19683,Prada,Galleria Saffiano Small,Saffiano,Craie,Oro (GHW),2019,N - Nuevo,Bajo Pedido (15 días),True,False,True,False,Consignment,3600,3605,4256,651,15.3,El maletín ejecutivo.
HP-93305,Celine,Ava Bag,Triomphe Canvas,Beige Trench,Rutenio,2020,A - Excelente,En Sourcing,False,True,True,True,Owned,1700,930,1544,614,39.8,La silueta de media luna.
HP-41926,Bottega Veneta,Jodie Mini,Intrecciato,Negro,Champagne,2021,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,2650,1393,2195,802,36.5,El nudo viral.
HP-42144,Fendi,Baguette 1997,Zucca Canvas,Beige Trench,Oro (GHW),2022,A - Excelente,Bajo Pedido (15 días),False,False,True,False,Owned,3200,1875,2935,1060,36.1,"It's not a bag, it's a Baguette."
HP-58888,Chanel,Classic Flap Small,Lambskin,Gold,Champagne,2020,AB - Muy bueno,En Stock (24h),False,False,True,True,Owned,9600,5176,8560,3384,39.5,"Suavidad extrema, cuidado delicado."
HP-38602,Louis Vuitton,Neverfull MM,Monogram,Rouge H,Champagne,2025,N - Nuevo,Reservado,False,True,True,False,Consignment,1950,1989,2544,555,21.8,El tote más vendido de la historia.
HP-72309,Prada,Cleo Brushed,Spazzolato,Verde,Paladio (PHW),2019,N - Nuevo,En Stock (24h),False,False,True,False,Consignment,2900,3157,3770,613,16.3,Futurismo retro.
HP-55312,Dior,Book Tote Medium,Toile de Jouy,Rouge H,Champagne,2025,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Owned,3300,2405,4130,1725,41.8,El bolso de viaje de la élite.
HP-28005,Dior,Lady Dior Mini,Satin/Strass,Azul Marino,Paladio (PHW),2021,N - Nuevo,Bajo Pedido (15 días),True,True,True,False,Consignment,5300,5630,6703,1073,16.0,Joya de noche.
HP-98033,Dior,Lady Dior Mini,Satin/Strass,Rouge H,Champagne,2024,A - Excelente,En Stock (24h),True,False,True,False,Owned,5300,3047,5110,2063,40.4,Joya de noche.
HP-75526,Loewe,Hammock Compact,Soft Grain,Verde,Champagne,2024,AB - Muy bueno,En Stock (24h),False,True,True,False,Consignment,2950,1984,2419,435,17.9,Versatilidad total.
HP-67954,Loewe,Gate Dual Mini,Soft Calf,Etoupe,Oro (GHW),2018,AB - Muy bueno,En Stock (24h),True,True,True,True,Owned,1950,1191,1930,739,38.2,El saddle bag español.
HP-42512,Bottega Veneta,Cassette Padded,Lambskin,Azul Marino,Rutenio,2025,N - Nuevo,Bajo Pedido (15 días),True,False,True,False,Consignment,4500,4528,5506,978,17.7,El Intrecciato maxi.
HP-89717,Fendi,Fendi First Small,Nappa,Verde,Rutenio,2024,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,3400,1785,2842,1057,37.2,La F arquitectónica.
HP-74098,Chanel,Classic Flap Jumbo,Caviar,Gris Asfalto,Oro (GHW),2023,A - Excelente,Bajo Pedido (15 días),False,False,True,True,Consignment,11000,8172,10465,2293,21.9,Para quien necesita más espacio.
HP-48732,Celine,Belt Bag Nano,Grained Calf,Rouge H,Oro (GHW),2020,AB - Muy bueno,En Stock (24h),True,True,True,False,Consignment,2300,1653,2091,438,20.9,Funcionalidad y discreción.
HP-60122,Hermès,Picotin Lock 18,Clemence,Craie,Oro (GHW),2019,A - Excelente,Bajo Pedido (15 días),True,True,True,True,Owned,3400,2129,3530,1401,39.7,El bucket bag de lujo por excelencia.
HP-70476,Dior,Lady Dior ABC (Small),Lambskin,Craie,Champagne,2020,B - Buen estado,En Stock (24h),False,True,True,True,Owned,5900,2974,3971,997,25.1,El bolso de la Princesa Diana.
HP-78066,Dior,Book Tote Medium,Toile de Jouy,Negro,Rutenio,2021,N - Nuevo,En Stock (24h),True,True,True,False,Consignment,3300,3192,3771,579,15.3,El bolso de viaje de la élite.
HP-30636,Bottega Veneta,Jodie Teen,Suede Intrecciato,Gold,Oro Viejo,2023,N - Nuevo,En Stock (24h),False,True,True,False,Consignment,3500,3468,4243,775,18.3,Tamaño perfecto para diario.
HP-10354,Louis Vuitton,Multi Pochette Accessoires,Monogram,Gold,Oro Viejo,2024,N - Nuevo,En Sourcing,True,True,True,False,Consignment,2600,2630,3152,522,16.5,El favorito del Street Style.
HP-32716,Chanel,Chanel 19 Large,Goatskin,Beige Trench,Champagne,2023,B - Buen estado,Bajo Pedido (15 días),False,True,True,False,Owned,7100,3681,5095,1414,27.7,Modernidad con acolchado maxi.
HP-27077,Fendi,Peekaboo ISeeU Small,Selleria,Craie,Oro Viejo,2020,N - Nuevo,Bajo Pedido (15 días),False,True,True,True,Owned,5400,4704,6454,1750,27.1,Artesanía romana.
HP-67190,Celine,Belt Bag Nano,Grained Calf,Craie,Oro Viejo,2019,A - Excelente,Reservado,False,True,True,False,Consignment,2300,1741,2167,426,19.6,Funcionalidad y discreción.
HP-54091,Gucci,Diana Bamboo Small,Leather,Rouge H,Oro (GHW),2025,AB - Muy bueno,En Stock (24h),False,True,True,True,Owned,3600,2359,3333,974,29.2,Asas de bambú neón.
HP-68133,Celine,Belt Bag Nano,Grained Calf,Gold,Paladio (PHW),2018,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,2300,1193,2036,843,41.4,Funcionalidad y discreción.
HP-70046,Bottega Veneta,Cassette Padded,Lambskin,Negro,Oro Viejo,2023,N - Nuevo,En Stock (24h),True,True,True,False,Consignment,4500,4707,5569,862,15.5,El Intrecciato maxi.
HP-11686,Louis Vuitton,Capucines BB,Taurillon,Rouge H,Paladio (PHW),2019,B - Buen estado,En Stock (24h),True,False,True,False,Consignment,6100,3759,4559,800,17.5,La apuesta de LV por el ultra-lujo.
HP-25515,Gucci,Marmont Matelassé Small,Leather,Craie,Oro (GHW),2018,A - Excelente,En Stock (24h),True,True,True,False,Owned,2550,1701,2370,669,28.2,El superventas de la década.
HP-61259,Louis Vuitton,Alma BB,Epi Leather,Azul Marino,Champagne,2024,A - Excelente,En Sourcing,False,True,True,False,Owned,1980,1097,1815,718,39.5,Estructura Art Deco atemporal.
HP-41713,Chanel,Classic Flap Medium,Caviar,Gris Asfalto,Champagne,2021,A - Excelente,En Sourcing,False,True,True,False,Owned,10300,6239,10589,4350,41.1,El rey de la reventa. Piel resistente.
HP-74187,Chanel,Classic Flap Medium,Caviar,Negro,Oro Viejo,2024,A - Excelente,En Stock (24h),True,False,True,True,Owned,10300,6695,10735,4040,37.6,El rey de la reventa. Piel resistente.
HP-46219,Celine,Luggage Nano,Drummed Calf,Azul Marino,Oro (GHW),2024,N - Nuevo,En Stock (24h),False,True,True,False,Consignment,2600,2716,3342,626,18.7,El rostro inconfundible.
HP-78125,Dior,Book Tote Medium,Toile de Jouy,Gold,Oro Viejo,2023,A - Excelente,En Stock (24h),True,False,True,False,Consignment,3300,2718,3420,702,20.5,El bolso de viaje de la élite.
HP-42229,Hermès,Picotin Lock 18,Clemence,Gris Asfalto,Rutenio,2023,A - Excelente,En Stock (24h),True,True,True,True,Owned,3400,2248,3999,1751,43.8,El bucket bag de lujo por excelencia.
HP-53834,Chanel,2.55 Reissue 226,Aged Calfskin,Negro,Champagne,2021,AB - Muy bueno,Bajo Pedido (15 días),True,True,True,True,Consignment,10300,8492,10644,2152,20.2,El original de Coco Chanel.
HP-83269,Bottega Veneta,Jodie Mini,Intrecciato,Negro,Oro (GHW),2019,A - Excelente,En Stock (24h),True,True,True,False,Consignment,2650,2252,2718,466,17.1,El nudo viral.
HP-15164,Hermès,Constance 18,Evercolor,Verde,Paladio (PHW),2023,A - Excelente,En Stock (24h),False,False,True,False,Owned,8900,5219,8482,3263,38.5,La H icónica. Perfecto para crossbody.
HP-71637,Dior,Book Tote Medium,Toile de Jouy,Gold,Champagne,2021,A - Excelente,Bajo Pedido (15 días),True,False,True,False,Owned,3300,2157,3238,1081,33.4,El bolso de viaje de la élite.
HP-57994,Louis Vuitton,Neverfull MM,Monogram,Negro,Paladio (PHW),2019,A - Excelente,Bajo Pedido (15 días),True,False,True,True,Owned,1950,1088,1884,796,42.2,El tote más vendido de la historia.
HP-77197,Loewe,Puzzle Small,Classic Calf,Etoupe,Oro Viejo,2018,B - Buen estado,Bajo Pedido (15 días),True,True,True,True,Owned,3100,1618,2506,888,35.4,Obra maestra geométrica.
HP-68672,Chanel,Boy Bag Old Medium,Calfskin,Etoupe,Oro (GHW),2024,AB - Muy bueno,En Stock (24h),True,True,True,True,Consignment,6700,5915,7201,1286,17.9,Estilo rock-chic con bordes gráficos.
HP-28226,Dior,Book Tote Medium,Toile de Jouy,Beige Trench,Champagne,2022,N - Nuevo,Bajo Pedido (15 días),False,False,True,False,Owned,3300,2974,4001,1027,25.6,El bolso de viaje de la élite.
HP-12376,Louis Vuitton,Pochette Métis,Monogram Reverse,Beige Trench,Oro (GHW),2021,AB - Muy bueno,Bajo Pedido (15 días),False,True,True,False,Owned,2700,1564,2410,846,35.1,El satchel perfecto para diario.
HP-18542,Celine,Belt Bag Nano,Grained Calf,Gris Asfalto,Oro (GHW),2025,AB - Muy bueno,Reservado,True,True,True,False,Owned,2300,1156,2036,880,43.2,Funcionalidad y discreción.
HP-22078,Dior,30 Montaigne,Box Calf,Etoupe,Paladio (PHW),2020,AB - Muy bueno,Bajo Pedido (15 días),True,False,True,True,Owned,3900,2305,3305,1000,30.2,Elegancia minimalista con cierre CD.
HP-33536,Hermès,Constance 18,Evercolor,Gris Asfalto,Rutenio,2025,N - Nuevo,Bajo Pedido (15 días),False,True,True,True,Owned,8900,7626,10602,2976,28.1,La H icónica. Perfecto para crossbody.
HP-58841,Fendi,Peekaboo ISeeU Small,Selleria,Verde,Champagne,2020,A - Excelente,Reservado,True,False,True,True,Owned,5400,3096,5243,2147,40.9,Artesanía romana.
HP-66195,Gucci,Jackie 1961 Small,GG Supreme,Craie,Rutenio,2021,A - Excelente,Bajo Pedido (15 días),True,True,True,False,Consignment,2950,2312,2934,622,21.2,El hobo bag renacido.
HP-93783,Fendi,Fendi First Small,Nappa,Verde,Rutenio,2020,A - Excelente,En Stock (24h),True,False,True,False,Owned,3400,2225,3398,1173,34.5,La F arquitectónica.
HP-91091,Prada,Cleo Brushed,Spazzolato,Gris Asfalto,Oro (GHW),2025,B - Buen estado,En Stock (24h),False,True,True,False,Consignment,2900,1634,2059,425,20.6,Futurismo retro.
HP-33406,Louis Vuitton,Alma BB,Epi Leather,Azul Marino,Oro (GHW),2024,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,1980,1373,1838,465,25.3,Estructura Art Deco atemporal.
HP-48552,Celine,Luggage Nano,Drummed Calf,Negro,Paladio (PHW),2019,AB - Muy bueno,En Stock (24h),True,False,True,False,Owned,2600,1593,2151,558,25.9,El rostro inconfundible.
HP-19942,Prada,Cleo Brushed,Spazzolato,Gold,Oro (GHW),2021,AB - Muy bueno,Bajo Pedido (15 días),False,False,True,False,Consignment,2900,2173,2655,482,18.1,Futurismo retro.
HP-19179,Hermès,Constance 18,Evercolor,Gris Asfalto,Oro Viejo,2022,B - Buen estado,En Stock (24h),False,True,True,False,Consignment,8900,4811,5992,1181,19.7,La H icónica. Perfecto para crossbody.
HP-18122,Loewe,Puzzle Small,Classic Calf,Negro,Oro (GHW),2023,AB - Muy bueno,En Stock (24h),True,False,True,True,Owned,3100,1546,2654,1108,41.7,Obra maestra geométrica.
HP-11095,Prada,Cleo Brushed,Spazzolato,Verde,Paladio (PHW),2021,A - Excelente,En Stock (24h),False,True,True,False,Consignment,2900,2421,2871,450,15.6,Futurismo retro.
HP-46504,Loewe,Flamenco Clutch,Nappa Calf,Etoupe,Rutenio,2023,AB - Muy bueno,En Stock (24h),False,True,True,False,Owned,2450,1212,2049,837,40.8,Suavidad y nudos característicos.
HP-94577,Dior,Lady Dior Mini,Satin/Strass,Etoupe,Champagne,2021,A - Excelente,En Stock (24h),True,False,True,True,Consignment,5300,4390,5215,825,15.8,Joya de noche.
HP-39887,Chanel,Wallet on Chain (WOC),Caviar,Gold,Oro (GHW),2024,AB - Muy bueno,En Stock (24h),True,False,True,True,Owned,3500,1812,2878,1066,37.0,El esencial de entrada a la marca.
HP-61025,Louis Vuitton,Onthego GM,Giant Monogram,Rouge H,Oro (GHW),2025,AB - Muy bueno,Reservado,True,True,True,True,Owned,3100,2223,3222,999,31.0,Maxi logo para impacto visual.
HP-26710,Hermès,Kelly 28 Sellier,Box Calf,Etoupe,Rutenio,2023,A - Excelente,En Stock (24h),False,False,True,True,Consignment,12500,9365,11784,2419,20.5,Elegancia estructurada con costuras visibles.
HP-34476,Chanel,2.55 Reissue 226,Aged Calfskin,Negro,Paladio (PHW),2020,A - Excelente,En Stock (24h),False,False,True,True,Consignment,10300,7520,9363,1843,19.7,El original de Coco Chanel.
HP-37656,Hermès,Kelly 28 Sellier,Box Calf,Etoupe,Paladio (PHW),2018,AB - Muy bueno,En Stock (24h),False,False,True,True,Owned,12500,8357,11366,3009,26.5,Elegancia estructurada con costuras visibles.
HP-70374,Hermès,Constance 18,Evercolor,Beige Trench,Champagne,2022,A - Excelente,En Sourcing,True,True,True,True,Owned,8900,6292,10271,3979,38.7,La H icónica. Perfecto para crossbody.
HP-71716,Louis Vuitton,Speedy 25 Bandoulière,Damier Ebene,Gris Asfalto,Oro Viejo,2019,AB - Muy bueno,En Stock (24h),False,False,True,False,Consignment,1800,1199,1474,275,18.6,Icono urbano indestructible.
HP-10451,Fendi,Peekaboo ISeeU Small,Selleria,Craie,Champagne,2018,AB - Muy bueno,Reservado,False,True,True,False,Consignment,5400,3666,4376,710,16.2,Artesanía romana.
HP-11465,Loewe,Puzzle Small,Classic Calf,Craie,Rutenio,2021,N - Nuevo,En Stock (24h),False,False,True,False,Owned,3100,2521,3846,1325,34.4,Obra maestra geométrica.
HP-87261,Chanel,Classic Flap Small,Lambskin,Verde,Oro Viejo,2018,AB - Muy bueno,Reservado,True,True,True,False,Owned,9600,5594,8654,3060,35.4,"Suavidad extrema, cuidado delicado."
HP-15986,Bottega Veneta,Jodie Teen,Suede Intrecciato,Negro,Paladio (PHW),2023,A - Excelente,Bajo Pedido (15 días),False,True,True,True,Consignment,3500,2541,3193,652,20.4,Tamaño perfecto para diario.
HP-96850,Hermès,Evelyne III PM,Clemence,Negro,Paladio (PHW),2019,A - Excelente,En Stock (24h),True,False,True,True,Consignment,3800,3324,3960,636,16.0,Casual y funcional con la H perforada.
HP-68197,Loewe,Gate Dual Mini,Soft Calf,Craie,Champagne,2024,A - Excelente,Bajo Pedido (15 días),False,True,True,True,Consignment,1950,1616,1966,350,17.8,El saddle bag español.
HP-17023,Louis Vuitton,Capucines BB,Taurillon,Etoupe,Paladio (PHW),2022,A - Excelente,En Stock (24h),True,False,True,True,Owned,6100,4044,5895,1851,31.4,La apuesta de LV por el ultra-lujo.
HP-16753,Dior,Book Tote Medium,Toile de Jouy,Gris Asfalto,Oro Viejo,2024,A - Excelente,En Stock (24h),False,True,True,True,Owned,3300,1922,3184,1262,39.6,El bolso de viaje de la élite.
HP-34398,Gucci,Marmont Matelassé Small,Leather,Azul Marino,Oro (GHW),2022,B - Buen estado,En Stock (24h),True,False,True,False,Owned,2550,1070,1808,738,40.8,El superventas de la década.
HP-83929,Hermès,Evelyne III PM,Clemence,Gris Asfalto,Champagne,2020,A - Excelente,Bajo Pedido (15 días),True,True,True,True,Owned,3800,2672,4397,1725,39.2,Casual y funcional con la H perforada.
HP-72889,Louis Vuitton,Onthego GM,Giant Monogram,Gris Asfalto,Oro Viejo,2025,AB - Muy bueno,En Stock (24h),False,False,True,False,Owned,3100,1698,2702,1004,37.1,Maxi logo para impacto visual.
HP-72832,Celine,Ava Bag,Triomphe Canvas,Rouge H,Oro Viejo,2025,AB - Muy bueno,Reservado,False,True,True,False,Owned,1700,901,1582,681,43.0,La silueta de media luna.
HP-27199,Fendi,Peekaboo ISeeU Small,Selleria,Beige Trench,Oro Viejo,2018,A - Excelente,En Stock (24h),True,False,True,False,Owned,5400,3630,5083,1453,28.6,Artesanía romana.
HP-33725,Louis Vuitton,Pochette Métis,Monogram Reverse,Azul Marino,Rutenio,2021,N - Nuevo,En Stock (24h),False,True,True,False,Owned,2700,2024,3081,1057,34.3,El satchel perfecto para diario.
HP-63202,Louis Vuitton,Onthego GM,Giant Monogram,Verde,Paladio (PHW),2018,N - Nuevo,Bajo Pedido (15 días),False,True,True,False,Consignment,3100,3007,3698,691,18.7,Maxi logo para impacto visual.
HP-19412,Loewe,Flamenco Clutch,Nappa Calf,Azul Marino,Paladio (PHW),2018,N - Nuevo,Bajo Pedido (15 días),True,False,True,True,Owned,2450,1963,2846,883,31.0,Suavidad y nudos característicos.
HP-36111,Hermès,Picotin Lock 18,Clemence,Etoupe,Rutenio,2023,N - Nuevo,En Sourcing,False,True,True,True,Owned,3400,3040,4484,1444,32.2,El bucket bag de lujo por excelencia.
